[Topic] k=30,  change alpha=0.7, L=1 	[Accuracy] train: 0.582674911256 	test: 0.54232864276
[Topic] k=30,  change alpha=0.7, L=1 (cond) 	[Accuracy] train: 0.584106263598 	test: 0.545052201543
[Topic] k=30,  change alpha=0.7, L=3 	[Accuracy] train: 0.580499255697 	test: 0.537448933273
[Topic] k=30,  change alpha=0.7, L=3 (cond) 	[Accuracy] train: 0.592007328524 	test: 0.539605083976
[Topic] k=30,  change alpha=0.7, L=5 	[Accuracy] train: 0.58444978816 	test: 0.5411938266
[Topic] k=30,  change alpha=0.7, L=5 (cond) 	[Accuracy] train: 0.586739951907 	test: 0.541420789832
[Topic] k=30,  change alpha=0.7, L=10 	[Accuracy] train: 0.581930608038 	test: 0.538129822969
[Topic] k=30,  change alpha=0.7, L=10 (cond) 	[Accuracy] train: 0.588915607466 	test: 0.540399455288
[Topic] k=30,  change alpha=0.7, L=20 	[Accuracy] train: 0.581987862132 	test: 0.537789378121
[Topic] k=30,  change alpha=0.7, L=20 (cond) 	[Accuracy] train: 0.588114050155 	test: 0.541080344984
[Topic] k=30,  change alpha=0.6, L=1 	[Accuracy] train: 0.584335279973 	test: 0.544711756695
[Topic] k=30,  change alpha=0.6, L=1 (cond) 	[Accuracy] train: 0.584736058628 	test: 0.546527462551
[Topic] k=30,  change alpha=0.6, L=3 	[Accuracy] train: 0.583247452193 	test: 0.544711756695
[Topic] k=30,  change alpha=0.6, L=3 (cond) 	[Accuracy] train: 0.590117943433 	test: 0.539605083976
[Topic] k=30,  change alpha=0.6, L=5 	[Accuracy] train: 0.582674911256 	test: 0.541874716296
[Topic] k=30,  change alpha=0.6, L=5 (cond) 	[Accuracy] train: 0.587427001031 	test: 0.543349977304
[Topic] k=30,  change alpha=0.6, L=10 	[Accuracy] train: 0.583190198099 	test: 0.540853381752
[Topic] k=30,  change alpha=0.6, L=10 (cond) 	[Accuracy] train: 0.586682697813 	test: 0.541647753064
[Topic] k=30,  change alpha=0.6, L=20 	[Accuracy] train: 0.583247452193 	test: 0.540966863368
[Topic] k=30,  change alpha=0.6, L=20 (cond) 	[Accuracy] train: 0.586739951907 	test: 0.542442124376
[Topic] k=35,  change alpha=1.0, L=1 	[Accuracy] train: 0.580842780259 	test: 0.533817521562
[Topic] k=35,  change alpha=1.0, L=1 (cond) 	[Accuracy] train: 0.588056796061 	test: 0.541874716296
[Topic] k=35,  change alpha=1.0, L=3 	[Accuracy] train: 0.578037329669 	test: 0.538583749433
[Topic] k=35,  change alpha=1.0, L=3 (cond) 	[Accuracy] train: 0.588686591091 	test: 0.537902859737
[Topic] k=35,  change alpha=1.0, L=5 	[Accuracy] train: 0.580041222947 	test: 0.543236495688
[Topic] k=35,  change alpha=1.0, L=5 (cond) 	[Accuracy] train: 0.591549295775 	test: 0.538129822969
